Trace1,,,,Trace2,,,,
Freq,,Amp,,Freq,,Amp,,
            51517424,Hz,             -103.60, dBm,            51517424,Hz,             -103.13, dBm,
            51523184,Hz,             -102.95, dBm,            51523184,Hz,             -102.66, dBm,
            51528944,Hz,             -102.85, dBm,            51528944,Hz,             -102.59, dBm,
            51534704,Hz,             -103.63, dBm,            51534704,Hz,             -102.91, dBm,
            51540464,Hz,             -101.93, dBm,            51540464,Hz,             -102.82, dBm,
            51546224,Hz,             -102.37, dBm,            51546224,Hz,             -102.51, dBm,
            51551984,Hz,             -102.66, dBm,            51551984,Hz,             -102.06, dBm,
            51557744,Hz,             -102.97, dBm,            51557744,Hz,             -102.94, dBm,
            51563504,Hz,             -101.83, dBm,            51563504,Hz,             -102.17, dBm,
            51569264,Hz,             -102.58, dBm,            51569264,Hz,             -102.13, dBm,
            51575024,Hz,             -103.98, dBm,            51575024,Hz,             -102.99, dBm,
            51580784,Hz,             -102.26, dBm,            51580784,Hz,             -102.46, dBm,
            51586544,Hz,             -102.47, dBm,            51586544,Hz,             -102.20, dBm,
            51592304,Hz,             -103.19, dBm,            51592304,Hz,             -102.63, dBm,
            51598064,Hz,             -101.77, dBm,            51598064,Hz,             -102.24, dBm,
            51603824,Hz,             -101.70, dBm,            51603824,Hz,             -101.91, dBm,
            51609584,Hz,             -102.74, dBm,            51609584,Hz,             -102.54, dBm,
            51615344,Hz,             -102.58, dBm,            51615344,Hz,             -102.84, dBm,
            51621104,Hz,             -101.23, dBm,            51621104,Hz,             -101.91, dBm,
            51626864,Hz,             -104.12, dBm,            51626864,Hz,             -102.50, dBm,
            51632624,Hz,             -102.28, dBm,            51632624,Hz,             -102.58, dBm,
            51638384,Hz,             -101.29, dBm,            51638384,Hz,             -101.91, dBm,
            51644144,Hz,             -101.95, dBm,            51644144,Hz,             -101.62, dBm,
            51649904,Hz,             -103.35, dBm,            51649904,Hz,             -102.73, dBm,
            51655664,Hz,             -101.70, dBm,            51655664,Hz,             -101.87, dBm,
            51661424,Hz,             -102.18, dBm,            51661424,Hz,             -101.85, dBm,
            51667184,Hz,             -103.11, dBm,            51667184,Hz,             -102.45, dBm,
            51672944,Hz,             -102.07, dBm,            51672944,Hz,             -102.13, dBm,
            51678704,Hz,             -100.98, dBm,            51678704,Hz,             -101.34, dBm,
            51684464,Hz,             -102.94, dBm,            51684464,Hz,             -102.39, dBm,
            51690224,Hz,             -100.95, dBm,            51690224,Hz,             -101.76, dBm,
            51695984,Hz,             -101.91, dBm,            51695984,Hz,             -101.25, dBm,
            51701744,Hz,             -102.21, dBm,            51701744,Hz,             -102.21, dBm,
            51707504,Hz,             -102.19, dBm,            51707504,Hz,             -102.00, dBm,
            51713264,Hz,             -100.36, dBm,            51713264,Hz,             -100.92, dBm,
            51719024,Hz,             -102.69, dBm,            51719024,Hz,             -101.68, dBm,
            51724784,Hz,             -100.39, dBm,            51724784,Hz,             -101.90, dBm,
            51730544,Hz,             -102.13, dBm,            51730544,Hz,             -101.37, dBm,
            51736304,Hz,             -102.46, dBm,            51736304,Hz,             -101.09, dBm,
            51742064,Hz,             -101.94, dBm,            51742064,Hz,             -102.06, dBm,
            51747824,Hz,             -100.79, dBm,            51747824,Hz,             -101.20, dBm,
            51753584,Hz,             -102.11, dBm,            51753584,Hz,             -101.09, dBm,
            51759344,Hz,             -101.59, dBm,            51759344,Hz,             -101.93, dBm,
            51765104,Hz,              -99.33, dBm,            51765104,Hz,             -100.75, dBm,
            51770864,Hz,             -100.93, dBm,            51770864,Hz,             -100.47, dBm,
            51776624,Hz,             -102.66, dBm,            51776624,Hz,             -102.07, dBm,
            51782384,Hz,             -100.34, dBm,            51782384,Hz,             -101.18, dBm,
            51788144,Hz,              -99.33, dBm,            51788144,Hz,             -100.29, dBm,
            51793904,Hz,             -101.35, dBm,            51793904,Hz,             -101.43, dBm,
            51799664,Hz,             -100.23, dBm,            51799664,Hz,             -101.35, dBm,
            51805424,Hz,              -99.23, dBm,            51805424,Hz,              -99.77, dBm,
            51811184,Hz,             -102.27, dBm,            51811184,Hz,             -100.92, dBm,
            51816944,Hz,              -99.86, dBm,            51816944,Hz,             -101.14, dBm,
            51822704,Hz,              -98.14, dBm,            51822704,Hz,              -99.68, dBm,
            51828464,Hz,             -100.66, dBm,            51828464,Hz,             -100.15, dBm,
            51834224,Hz,             -101.12, dBm,            51834224,Hz,             -101.56, dBm,
            51839984,Hz,              -97.09, dBm,            51839984,Hz,              -99.32, dBm,
            51845744,Hz,              -99.70, dBm,            51845744,Hz,              -99.66, dBm,
            51851504,Hz,             -100.63, dBm,            51851504,Hz,             -101.12, dBm,
            51857264,Hz,              -96.43, dBm,            51857264,Hz,              -99.00, dBm,
            51863024,Hz,              -98.26, dBm,            51863024,Hz,              -98.74, dBm,
            51868784,Hz,             -100.98, dBm,            51868784,Hz,             -100.77, dBm,
            51874544,Hz,              -96.54, dBm,            51874544,Hz,              -99.39, dBm,
            51880304,Hz,              -96.29, dBm,            51880304,Hz,              -97.84, dBm,
            51886064,Hz,             -100.35, dBm,            51886064,Hz,              -99.88, dBm,
            51891824,Hz,              -96.44, dBm,            51891824,Hz,              -99.16, dBm,
            51897584,Hz,              -96.30, dBm,            51897584,Hz,              -97.59, dBm,
            51903344,Hz,             -101.11, dBm,            51903344,Hz,              -98.97, dBm,
            51909104,Hz,              -97.08, dBm,            51909104,Hz,              -99.29, dBm,
            51914864,Hz,              -94.34, dBm,            51914864,Hz,              -96.92, dBm,
            51920624,Hz,              -97.89, dBm,            51920624,Hz,              -97.72, dBm,
            51926384,Hz,              -95.98, dBm,            51926384,Hz,              -99.07, dBm,
            51932144,Hz,              -92.85, dBm,            51932144,Hz,              -96.09, dBm,
            51937904,Hz,              -96.46, dBm,            51937904,Hz,              -96.24, dBm,
            51943664,Hz,              -97.72, dBm,            51943664,Hz,              -98.83, dBm,
            51949424,Hz,              -93.09, dBm,            51949424,Hz,              -95.93, dBm,
            51955184,Hz,              -94.50, dBm,            51955184,Hz,              -95.03, dBm,
            51960944,Hz,              -98.31, dBm,            51960944,Hz,              -98.04, dBm,
            51966704,Hz,              -90.15, dBm,            51966704,Hz,              -95.07, dBm,
            51972464,Hz,              -92.13, dBm,            51972464,Hz,              -93.53, dBm,
            51978224,Hz,              -97.21, dBm,            51978224,Hz,              -96.63, dBm,
            51983984,Hz,              -89.21, dBm,            51983984,Hz,              -94.72, dBm,
            51989744,Hz,              -88.38, dBm,            51989744,Hz,              -91.57, dBm,
            51995504,Hz,              -94.88, dBm,            51995504,Hz,              -94.05, dBm,
            52001264,Hz,              -89.15, dBm,            52001264,Hz,              -93.96, dBm,
            52007024,Hz,              -85.56, dBm,            52007024,Hz,              -89.66, dBm,
            52012784,Hz,              -90.99, dBm,            52012784,Hz,              -91.12, dBm,
            52018544,Hz,              -86.70, dBm,            52018544,Hz,              -91.77, dBm,
            52024304,Hz,              -82.33, dBm,            52024304,Hz,              -87.40, dBm,
            52030064,Hz,              -86.23, dBm,            52030064,Hz,              -87.56, dBm,
            52035824,Hz,              -85.54, dBm,            52035824,Hz,              -90.51, dBm,
            52041584,Hz,              -79.78, dBm,            52041584,Hz,              -85.80, dBm,
            52047344,Hz,              -81.09, dBm,            52047344,Hz,              -84.53, dBm,
            52053104,Hz,              -86.12, dBm,            52053104,Hz,              -88.99, dBm,
            52058864,Hz,              -80.21, dBm,            52058864,Hz,              -86.05, dBm,
            52064624,Hz,              -80.39, dBm,            52064624,Hz,              -84.40, dBm,
            52070384,Hz,              -90.93, dBm,            52070384,Hz,              -90.00, dBm,
            52076144,Hz,              -83.97, dBm,            52076144,Hz,              -88.78, dBm,
            52081904,Hz,              -83.21, dBm,            52081904,Hz,              -86.92, dBm,
            52087664,Hz,              -91.48, dBm,            52087664,Hz,              -90.86, dBm,
            52093424,Hz,              -86.28, dBm,            52093424,Hz,              -91.64, dBm,
            52099184,Hz,              -85.03, dBm,            52099184,Hz,              -89.12, dBm,
            52104944,Hz,              -92.66, dBm,            52104944,Hz,              -91.83, dBm,
            52110704,Hz,              -90.96, dBm,            52110704,Hz,              -94.04, dBm,
            52116464,Hz,              -87.74, dBm,            52116464,Hz,              -91.36, dBm,
            52122224,Hz,              -92.73, dBm,            52122224,Hz,              -92.74, dBm,
            52127984,Hz,              -93.18, dBm,            52127984,Hz,              -95.80, dBm,
            52133744,Hz,              -88.14, dBm,            52133744,Hz,              -93.21, dBm,
            52139504,Hz,              -91.73, dBm,            52139504,Hz,              -92.86, dBm,
            52145264,Hz,              -95.46, dBm,            52145264,Hz,              -96.73, dBm,
            52151024,Hz,              -89.74, dBm,            52151024,Hz,              -94.59, dBm,
            52156784,Hz,              -92.59, dBm,            52156784,Hz,              -94.07, dBm,
            52162544,Hz,              -98.29, dBm,            52162544,Hz,              -97.82, dBm,
            52168304,Hz,              -92.04, dBm,            52168304,Hz,              -96.35, dBm,
            52174064,Hz,              -92.09, dBm,            52174064,Hz,              -94.52, dBm,
            52179824,Hz,              -99.24, dBm,            52179824,Hz,              -97.76, dBm,
