Trace1,,,,Trace2,,,,
Freq,,Amp,,Freq,,Amp,,
            50669085,Hz,              -99.33, dBm,            50669085,Hz,              -99.21, dBm,
            50677530,Hz,              -99.70, dBm,            50677530,Hz,              -99.50, dBm,
            50685975,Hz,              -98.92, dBm,            50685975,Hz,              -99.20, dBm,
            50694420,Hz,              -99.91, dBm,            50694420,Hz,              -99.00, dBm,
            50702865,Hz,             -100.33, dBm,            50702865,Hz,              -99.79, dBm,
            50711310,Hz,              -99.58, dBm,            50711310,Hz,              -99.43, dBm,
            50719755,Hz,              -98.40, dBm,            50719755,Hz,              -99.02, dBm,
            50728200,Hz,              -99.14, dBm,            50728200,Hz,              -99.23, dBm,
            50736645,Hz,             -100.18, dBm,            50736645,Hz,              -99.38, dBm,
            50745090,Hz,              -97.74, dBm,            50745090,Hz,              -98.38, dBm,
            50753535,Hz,              -99.74, dBm,            50753535,Hz,              -99.11, dBm,
            50761980,Hz,              -99.41, dBm,            50761980,Hz,              -99.26, dBm,
            50770425,Hz,              -98.71, dBm,            50770425,Hz,              -98.93, dBm,
            50778870,Hz,              -99.72, dBm,            50778870,Hz,              -99.15, dBm,
            50787315,Hz,              -98.89, dBm,            50787315,Hz,              -99.31, dBm,
            50795760,Hz,              -98.86, dBm,            50795760,Hz,              -99.37, dBm,
            50804205,Hz,             -100.41, dBm,            50804205,Hz,              -99.43, dBm,
            50812650,Hz,              -98.83, dBm,            50812650,Hz,              -98.88, dBm,
            50821095,Hz,              -98.42, dBm,            50821095,Hz,              -98.99, dBm,
            50829540,Hz,              -98.26, dBm,            50829540,Hz,              -98.67, dBm,
            50837985,Hz,              -97.98, dBm,            50837985,Hz,              -98.64, dBm,
            50846430,Hz,              -97.50, dBm,            50846430,Hz,              -98.34, dBm,
            50854875,Hz,              -98.38, dBm,            50854875,Hz,              -98.09, dBm,
            50863320,Hz,              -99.08, dBm,            50863320,Hz,              -98.78, dBm,
            50871765,Hz,              -98.70, dBm,            50871765,Hz,              -99.06, dBm,
            50880210,Hz,              -98.36, dBm,            50880210,Hz,              -98.52, dBm,
            50888655,Hz,              -98.08, dBm,            50888655,Hz,              -98.49, dBm,
            50897100,Hz,             -100.75, dBm,            50897100,Hz,              -99.36, dBm,
            50905545,Hz,              -97.46, dBm,            50905545,Hz,              -98.20, dBm,
            50913990,Hz,              -99.12, dBm,            50913990,Hz,              -98.68, dBm,
            50922435,Hz,              -98.80, dBm,            50922435,Hz,              -98.46, dBm,
            50930880,Hz,              -99.87, dBm,            50930880,Hz,              -98.47, dBm,
            50939325,Hz,              -98.51, dBm,            50939325,Hz,              -99.11, dBm,
