Trace1,,,,
Freq,,Amp,,
           100228746,Hz,              -96.42, dBm,
           100241352,Hz,              -96.70, dBm,
           100253958,Hz,              -96.62, dBm,
           100266564,Hz,              -96.82, dBm,
           100279170,Hz,              -96.45, dBm,
           100291776,Hz,              -96.57, dBm,
           100304382,Hz,              -96.40, dBm,
           100316988,Hz,              -96.43, dBm,
           100329594,Hz,              -96.25, dBm,
           100342200,Hz,              -96.43, dBm,
           100354806,Hz,              -96.75, dBm,
           100367412,Hz,              -96.52, dBm,
           100380018,Hz,              -96.36, dBm,
           100392624,Hz,              -96.42, dBm,
           100405230,Hz,              -96.26, dBm,
           100417836,Hz,              -96.35, dBm,
           100430442,Hz,              -96.44, dBm,
           100443048,Hz,              -96.26, dBm,
           100455654,Hz,              -96.46, dBm,
           100468260,Hz,              -95.98, dBm,
           100480866,Hz,              -95.77, dBm,
           100493472,Hz,              -93.78, dBm,
           100506078,Hz,              -95.33, dBm,
           100518684,Hz,              -95.46, dBm,
           100531290,Hz,              -95.63, dBm,
           100543896,Hz,              -95.69, dBm,
           100556502,Hz,              -95.96, dBm,
           100569108,Hz,              -95.86, dBm,
           100581714,Hz,              -95.89, dBm,
           100594320,Hz,              -95.90, dBm,
           100606926,Hz,              -96.26, dBm,
           100619532,Hz,              -95.89, dBm,
           100632138,Hz,              -96.21, dBm,
           100644744,Hz,              -95.96, dBm,
           100657350,Hz,              -95.55, dBm,
           100669956,Hz,              -95.91, dBm,
           100682562,Hz,              -96.10, dBm,
           100695168,Hz,              -96.23, dBm,
           100707774,Hz,              -96.01, dBm,
           100720380,Hz,              -96.11, dBm,
           100732986,Hz,              -96.37, dBm,
           100745592,Hz,              -96.08, dBm,
           100758198,Hz,              -96.19, dBm,
           100770804,Hz,              -95.90, dBm,
           100783410,Hz,              -96.08, dBm,
           100796016,Hz,              -96.30, dBm,
           100808622,Hz,              -96.49, dBm,
           100821228,Hz,              -96.25, dBm,
           100833834,Hz,              -96.61, dBm,
           100846440,Hz,              -96.46, dBm,
           100859046,Hz,              -96.69, dBm,
           100871652,Hz,              -96.26, dBm,
           100884258,Hz,              -96.52, dBm,
           100896864,Hz,              -96.28, dBm,
           100909470,Hz,              -96.64, dBm,
           100922076,Hz,              -96.36, dBm,
           100934682,Hz,              -96.19, dBm,
           100947288,Hz,              -96.24, dBm,
           100959894,Hz,              -96.33, dBm,
           100972500,Hz,              -96.55, dBm,
           100985106,Hz,              -96.50, dBm,
           100997712,Hz,              -96.60, dBm,
           101010318,Hz,              -96.31, dBm,
           101022924,Hz,              -96.49, dBm,
           101035530,Hz,              -96.34, dBm,
           101048136,Hz,              -96.30, dBm,
           101060742,Hz,              -96.42, dBm,
           101073348,Hz,              -96.57, dBm,
           101085954,Hz,              -96.16, dBm,
           101098560,Hz,              -96.27, dBm,
           101111166,Hz,              -96.54, dBm,
           101123772,Hz,              -96.55, dBm,
           101136378,Hz,              -96.25, dBm,
           101148984,Hz,              -96.51, dBm,
           101161590,Hz,              -96.45, dBm,
           101174196,Hz,              -96.25, dBm,
           101186802,Hz,              -96.35, dBm,
           101199408,Hz,              -96.06, dBm,
           101212014,Hz,              -96.11, dBm,
           101224620,Hz,              -96.11, dBm,
           101237226,Hz,              -96.35, dBm,
           101249832,Hz,              -96.63, dBm,
           101262438,Hz,              -96.45, dBm,
           101275044,Hz,              -96.25, dBm,
           101287650,Hz,              -96.09, dBm,
           101300256,Hz,              -96.43, dBm,
           101312862,Hz,              -96.00, dBm,
           101325468,Hz,              -95.91, dBm,
           101338074,Hz,              -96.02, dBm,
           101350680,Hz,              -96.11, dBm,
           101363286,Hz,              -96.02, dBm,
           101375892,Hz,              -95.98, dBm,
           101388498,Hz,              -95.60, dBm,
           101401104,Hz,              -95.94, dBm,
           101413710,Hz,              -95.87, dBm,
           101426316,Hz,              -95.67, dBm,
           101438922,Hz,              -95.80, dBm,
           101451528,Hz,              -95.79, dBm,
           101464134,Hz,              -95.68, dBm,
           101476740,Hz,              -95.41, dBm,
           101489346,Hz,              -95.41, dBm,
           101501952,Hz,              -95.29, dBm,
           101514558,Hz,              -95.42, dBm,
           101527164,Hz,              -95.00, dBm,
           101539770,Hz,              -94.95, dBm,
           101552376,Hz,              -94.84, dBm,
           101564982,Hz,              -94.68, dBm,
           101577588,Hz,              -94.24, dBm,
           101590194,Hz,              -94.33, dBm,
           101602800,Hz,              -94.20, dBm,
           101615406,Hz,              -93.63, dBm,
           101628012,Hz,              -93.00, dBm,
           101640618,Hz,              -93.12, dBm,
           101653224,Hz,              -92.07, dBm,
           101665830,Hz,              -91.40, dBm,
           101678436,Hz,              -91.68, dBm,
           101691042,Hz,              -91.42, dBm,
           101703648,Hz,              -90.48, dBm,
           101716254,Hz,              -91.26, dBm,
           101728860,Hz,              -91.57, dBm,
           101741466,Hz,              -91.49, dBm,
           101754072,Hz,              -92.34, dBm,
           101766678,Hz,              -92.55, dBm,
           101779284,Hz,              -92.87, dBm,
           101791890,Hz,              -92.65, dBm,
           101804496,Hz,              -93.14, dBm,
           101817102,Hz,              -93.43, dBm,
           101829708,Hz,              -93.66, dBm,
           101842314,Hz,              -94.12, dBm,
           101854920,Hz,              -94.17, dBm,
           101867526,Hz,              -94.13, dBm,
           101880132,Hz,              -94.56, dBm,
           101892738,Hz,              -94.37, dBm,
           101905344,Hz,              -94.77, dBm,
           101917950,Hz,              -95.04, dBm,
           101930556,Hz,              -94.85, dBm,
           101943162,Hz,              -95.32, dBm,
           101955768,Hz,              -95.33, dBm,
           101968374,Hz,              -95.22, dBm,
           101980980,Hz,              -95.14, dBm,
           101993586,Hz,              -95.60, dBm,
           102006192,Hz,              -95.39, dBm,
           102018798,Hz,              -95.32, dBm,
           102031404,Hz,              -95.40, dBm,
           102044010,Hz,              -95.22, dBm,
           102056616,Hz,              -95.44, dBm,
           102069222,Hz,              -95.40, dBm,
           102081828,Hz,              -95.68, dBm,
           102094434,Hz,              -95.74, dBm,
           102107040,Hz,              -95.30, dBm,
           102119646,Hz,              -95.95, dBm,
           102132252,Hz,              -95.39, dBm,
           102144858,Hz,              -95.81, dBm,
           102157464,Hz,              -95.74, dBm,
           102170070,Hz,              -95.63, dBm,
           102182676,Hz,              -95.46, dBm,
           102195282,Hz,              -95.66, dBm,
           102207888,Hz,              -95.55, dBm,
           102220494,Hz,              -95.55, dBm,
           102233100,Hz,              -95.37, dBm,
           102245706,Hz,              -95.29, dBm,
           102258312,Hz,              -95.59, dBm,
           102270918,Hz,              -95.45, dBm,
           102283524,Hz,              -95.66, dBm,
           102296130,Hz,              -95.56, dBm,
           102308736,Hz,              -95.54, dBm,
           102321342,Hz,              -95.80, dBm,
           102333948,Hz,              -95.38, dBm,
           102346554,Hz,              -95.33, dBm,
           102359160,Hz,              -95.67, dBm,
           102371766,Hz,              -95.62, dBm,
           102384372,Hz,              -95.42, dBm,
           102396978,Hz,              -95.50, dBm,
           102409584,Hz,              -95.20, dBm,
           102422190,Hz,              -95.63, dBm,
           102434796,Hz,              -95.23, dBm,
           102447402,Hz,              -95.16, dBm,
           102460008,Hz,              -95.31, dBm,
           102472614,Hz,              -94.91, dBm,
           102485220,Hz,              -95.31, dBm,
           102497826,Hz,              -95.00, dBm,
           102510432,Hz,              -95.20, dBm,
           102523038,Hz,              -94.86, dBm,
           102535644,Hz,              -94.83, dBm,
           102548250,Hz,              -94.98, dBm,
           102560856,Hz,              -94.70, dBm,
           102573462,Hz,              -94.51, dBm,
           102586068,Hz,              -94.68, dBm,
           102598674,Hz,              -94.45, dBm,
           102611280,Hz,              -94.35, dBm,
           102623886,Hz,              -94.05, dBm,
           102636492,Hz,              -94.29, dBm,
           102649098,Hz,              -93.95, dBm,
           102661704,Hz,              -93.31, dBm,
           102674310,Hz,              -93.34, dBm,
           102686916,Hz,              -93.10, dBm,
           102699522,Hz,              -92.97, dBm,
           102712128,Hz,              -92.65, dBm,
           102724734,Hz,              -92.26, dBm,
           102737340,Hz,              -91.40, dBm,
           102749946,Hz,              -91.30, dBm,
           102762552,Hz,              -90.21, dBm,
           102775158,Hz,              -89.66, dBm,
           102787764,Hz,              -88.44, dBm,
           102800370,Hz,              -88.02, dBm,
           102812976,Hz,              -87.52, dBm,
           102825582,Hz,              -87.51, dBm,
           102838188,Hz,              -84.91, dBm,
           102850794,Hz,              -83.74, dBm,
           102863400,Hz,              -86.02, dBm,
           102876006,Hz,              -85.83, dBm,
           102888612,Hz,              -87.10, dBm,
           102901218,Hz,              -87.20, dBm,
           102913824,Hz,              -88.44, dBm,
           102926430,Hz,              -88.34, dBm,
           102939036,Hz,              -89.30, dBm,
           102951642,Hz,              -89.58, dBm,
           102964248,Hz,              -90.44, dBm,
           102976854,Hz,              -91.01, dBm,
           102989460,Hz,              -91.68, dBm,
           103002066,Hz,              -91.91, dBm,
           103014672,Hz,              -91.96, dBm,
           103027278,Hz,              -92.02, dBm,
           103039884,Hz,              -92.31, dBm,
           103052490,Hz,              -92.13, dBm,
           103065096,Hz,              -92.45, dBm,
           103077702,Hz,              -92.39, dBm,
           103090308,Hz,              -92.59, dBm,
           103102914,Hz,              -92.10, dBm,
           103115520,Hz,              -92.42, dBm,
           103128126,Hz,              -92.64, dBm,
           103140732,Hz,              -92.76, dBm,
           103153338,Hz,              -92.78, dBm,
           103165944,Hz,              -92.56, dBm,
           103178550,Hz,              -92.92, dBm,
           103191156,Hz,              -92.91, dBm,
           103203762,Hz,              -92.46, dBm,
           103216368,Hz,              -92.59, dBm,
           103228974,Hz,              -92.23, dBm,
           103241580,Hz,              -92.18, dBm,
