Trace1,,,,Trace2,,,,
Freq,,Amp,,Freq,,Amp,,
            53171606,Hz,             -105.35, dBm,            53171606,Hz,             -103.00, dBm,
            53171797,Hz,             -105.62, dBm,            53171797,Hz,             -101.69, dBm,
            53171988,Hz,             -103.84, dBm,            53171988,Hz,             -102.30, dBm,
            53172179,Hz,             -102.38, dBm,            53172179,Hz,             -101.62, dBm,
            53172370,Hz,             -103.45, dBm,            53172370,Hz,             -102.17, dBm,
            53172561,Hz,             -105.35, dBm,            53172561,Hz,             -102.61, dBm,
            53172752,Hz,             -102.29, dBm,            53172752,Hz,             -101.07, dBm,
            53172943,Hz,             -102.05, dBm,            53172943,Hz,             -100.28, dBm,
            53173134,Hz,             -102.47, dBm,            53173134,Hz,             -102.28, dBm,
            53173325,Hz,             -104.61, dBm,            53173325,Hz,             -102.75, dBm,
            53173516,Hz,             -101.78, dBm,            53173516,Hz,             -100.49, dBm,
            53173707,Hz,             -100.74, dBm,            53173707,Hz,             -100.12, dBm,
            53173898,Hz,             -100.91, dBm,            53173898,Hz,              -99.93, dBm,
            53174089,Hz,             -102.49, dBm,            53174089,Hz,             -100.81, dBm,
            53174280,Hz,             -101.90, dBm,            53174280,Hz,             -100.57, dBm,
            53174471,Hz,             -102.79, dBm,            53174471,Hz,              -99.89, dBm,
            53174662,Hz,             -102.78, dBm,            53174662,Hz,             -100.75, dBm,
            53174853,Hz,             -101.81, dBm,            53174853,Hz,              -99.70, dBm,
            53175044,Hz,             -102.08, dBm,            53175044,Hz,             -100.91, dBm,
            53175235,Hz,             -100.07, dBm,            53175235,Hz,              -99.94, dBm,
            53175426,Hz,             -101.98, dBm,            53175426,Hz,             -100.54, dBm,
            53175617,Hz,             -100.46, dBm,            53175617,Hz,              -99.65, dBm,
            53175808,Hz,             -101.84, dBm,            53175808,Hz,              -99.06, dBm,
            53175999,Hz,             -100.67, dBm,            53175999,Hz,              -98.85, dBm,
            53176190,Hz,              -99.97, dBm,            53176190,Hz,              -98.59, dBm,
            53176381,Hz,             -100.33, dBm,            53176381,Hz,              -98.44, dBm,
            53176572,Hz,             -104.22, dBm,            53176572,Hz,              -99.28, dBm,
            53176763,Hz,              -99.53, dBm,            53176763,Hz,              -98.67, dBm,
            53176954,Hz,             -101.91, dBm,            53176954,Hz,             -100.30, dBm,
            53177145,Hz,             -100.35, dBm,            53177145,Hz,              -98.34, dBm,
            53177336,Hz,             -101.01, dBm,            53177336,Hz,              -99.57, dBm,
            53177527,Hz,              -98.28, dBm,            53177527,Hz,              -97.70, dBm,
            53177718,Hz,             -100.45, dBm,            53177718,Hz,              -99.69, dBm,
            53177909,Hz,             -102.16, dBm,            53177909,Hz,              -99.31, dBm,
            53178100,Hz,             -100.65, dBm,            53178100,Hz,              -99.17, dBm,
            53178291,Hz,             -100.03, dBm,            53178291,Hz,              -98.08, dBm,
            53178482,Hz,              -99.88, dBm,            53178482,Hz,              -98.31, dBm,
            53178673,Hz,              -97.67, dBm,            53178673,Hz,              -96.88, dBm,
            53178864,Hz,              -97.59, dBm,            53178864,Hz,              -98.10, dBm,
            53179055,Hz,              -97.61, dBm,            53179055,Hz,              -96.47, dBm,
            53179246,Hz,              -94.25, dBm,            53179246,Hz,              -96.22, dBm,
            53179437,Hz,              -92.86, dBm,            53179437,Hz,              -93.83, dBm,
            53179628,Hz,              -93.57, dBm,            53179628,Hz,              -94.12, dBm,
            53179819,Hz,              -93.76, dBm,            53179819,Hz,              -92.89, dBm,
            53180010,Hz,              -91.52, dBm,            53180010,Hz,              -91.84, dBm,
            53180201,Hz,              -94.67, dBm,            53180201,Hz,              -91.78, dBm,
            53180392,Hz,              -95.73, dBm,            53180392,Hz,              -91.25, dBm,
            53180583,Hz,              -93.28, dBm,            53180583,Hz,              -91.14, dBm,
            53180774,Hz,              -97.34, dBm,            53180774,Hz,              -93.78, dBm,
            53180965,Hz,              -96.10, dBm,            53180965,Hz,              -93.90, dBm,
            53181156,Hz,              -96.89, dBm,            53181156,Hz,              -94.74, dBm,
            53181347,Hz,              -98.04, dBm,            53181347,Hz,              -96.22, dBm,
            53181538,Hz,             -102.43, dBm,            53181538,Hz,              -97.11, dBm,
            53181729,Hz,             -102.14, dBm,            53181729,Hz,              -97.06, dBm,
            53181920,Hz,             -101.26, dBm,            53181920,Hz,              -98.51, dBm,
            53182111,Hz,             -100.26, dBm,            53182111,Hz,              -98.27, dBm,
            53182302,Hz,              -99.82, dBm,            53182302,Hz,              -97.18, dBm,
            53182493,Hz,             -100.93, dBm,            53182493,Hz,              -98.41, dBm,
            53182684,Hz,             -100.64, dBm,            53182684,Hz,              -97.89, dBm,
            53182875,Hz,             -101.95, dBm,            53182875,Hz,              -99.10, dBm,
            53183066,Hz,              -99.39, dBm,            53183066,Hz,              -99.22, dBm,
            53183257,Hz,             -100.07, dBm,            53183257,Hz,              -97.39, dBm,
            53183448,Hz,             -100.92, dBm,            53183448,Hz,              -99.70, dBm,
            53183639,Hz,             -102.95, dBm,            53183639,Hz,              -99.58, dBm,
            53183830,Hz,             -101.39, dBm,            53183830,Hz,              -99.55, dBm,
            53184021,Hz,             -100.46, dBm,            53184021,Hz,              -99.53, dBm,
