Trace1,
Freq,,Amp,,
            99997972,Hz,              -96.61, dBm,
           100011467,Hz,              -96.49, dBm,
           100024962,Hz,              -96.64, dBm,
           100038457,Hz,              -96.71, dBm,
           100051952,Hz,              -96.52, dBm,
           100065447,Hz,              -96.73, dBm,
           100078942,Hz,              -96.72, dBm,
           100092437,Hz,              -96.71, dBm,
           100105932,Hz,              -96.53, dBm,
           100119427,Hz,              -96.85, dBm,
           100132922,Hz,              -96.77, dBm,
           100146417,Hz,              -96.61, dBm,
           100159912,Hz,              -96.64, dBm,
           100173407,Hz,              -96.75, dBm,
           100186902,Hz,              -96.72, dBm,
           100200397,Hz,              -96.67, dBm,
           100213892,Hz,              -96.71, dBm,
           100227387,Hz,              -96.85, dBm,
           100240882,Hz,              -96.84, dBm,
           100254377,Hz,              -96.35, dBm,
           100267872,Hz,              -96.63, dBm,
           100281367,Hz,              -96.66, dBm,
           100294862,Hz,              -96.68, dBm,
           100308357,Hz,              -96.93, dBm,
           100321852,Hz,              -96.54, dBm,
           100335347,Hz,              -96.66, dBm,
           100348842,Hz,              -96.74, dBm,
           100362337,Hz,              -96.66, dBm,
           100375832,Hz,              -96.70, dBm,
           100389327,Hz,              -96.55, dBm,
           100402822,Hz,              -96.61, dBm,
           100416317,Hz,              -96.76, dBm,
           100429812,Hz,              -96.46, dBm,
           100443307,Hz,              -96.56, dBm,
           100456802,Hz,              -96.45, dBm,
           100470297,Hz,              -96.46, dBm,
           100483792,Hz,              -96.30, dBm,
           100497287,Hz,              -95.10, dBm,
           100510782,Hz,              -96.46, dBm,
           100524277,Hz,              -96.32, dBm,
           100537772,Hz,              -96.58, dBm,
           100551267,Hz,              -96.30, dBm,
           100564762,Hz,              -96.59, dBm,
           100578257,Hz,              -96.49, dBm,
           100591752,Hz,              -96.77, dBm,
           100605247,Hz,              -96.60, dBm,
           100618742,Hz,              -96.58, dBm,
           100632237,Hz,              -96.69, dBm,
           100645732,Hz,              -96.61, dBm,
           100659227,Hz,              -96.52, dBm,
           100672722,Hz,              -96.59, dBm,
