Trace1,,,,Trace2,,,,
Freq,,Amp,,Freq,,Amp,,
            64602485,Hz,              -74.00, dBm,            64602485,Hz,              -73.37, dBm,
            64617262,Hz,              -73.91, dBm,            64617262,Hz,              -73.63, dBm,
            64632039,Hz,              -74.58, dBm,            64632039,Hz,              -73.23, dBm,
            64646816,Hz,              -73.44, dBm,            64646816,Hz,              -73.44, dBm,
            64661593,Hz,              -74.36, dBm,            64661593,Hz,              -73.42, dBm,
            64676370,Hz,              -73.43, dBm,            64676370,Hz,              -73.30, dBm,
            64691147,Hz,              -74.15, dBm,            64691147,Hz,              -73.50, dBm,
            64705924,Hz,              -76.42, dBm,            64705924,Hz,              -73.24, dBm,
            64720701,Hz,              -71.23, dBm,            64720701,Hz,              -73.43, dBm,
            64735478,Hz,              -73.39, dBm,            64735478,Hz,              -73.64, dBm,
            64750255,Hz,              -76.07, dBm,            64750255,Hz,              -73.42, dBm,
            64765032,Hz,              -73.06, dBm,            64765032,Hz,              -73.27, dBm,
            64779809,Hz,              -72.97, dBm,            64779809,Hz,              -73.27, dBm,
            64794586,Hz,              -72.92, dBm,            64794586,Hz,              -73.19, dBm,
            64809363,Hz,              -71.27, dBm,            64809363,Hz,              -73.15, dBm,
            64824140,Hz,              -75.56, dBm,            64824140,Hz,              -73.35, dBm,
            64838917,Hz,              -74.53, dBm,            64838917,Hz,              -73.32, dBm,
            64853694,Hz,              -72.22, dBm,            64853694,Hz,              -73.06, dBm,
            64868471,Hz,              -73.36, dBm,            64868471,Hz,              -73.29, dBm,
            64883248,Hz,              -74.51, dBm,            64883248,Hz,              -73.26, dBm,
            64898025,Hz,              -72.22, dBm,            64898025,Hz,              -73.30, dBm,
            64912802,Hz,              -73.22, dBm,            64912802,Hz,              -73.34, dBm,
            64927579,Hz,              -74.68, dBm,            64927579,Hz,              -73.32, dBm,
            64942356,Hz,              -74.79, dBm,            64942356,Hz,              -73.10, dBm,
            64957133,Hz,              -71.60, dBm,            64957133,Hz,              -73.08, dBm,
            64971910,Hz,              -75.35, dBm,            64971910,Hz,              -73.38, dBm,
            64986687,Hz,              -74.05, dBm,            64986687,Hz,              -73.30, dBm,
            65001464,Hz,              -72.93, dBm,            65001464,Hz,              -73.20, dBm,
            65016241,Hz,              -75.67, dBm,            65016241,Hz,              -73.09, dBm,
            65031018,Hz,              -73.12, dBm,            65031018,Hz,              -73.25, dBm,
            65045795,Hz,              -72.67, dBm,            65045795,Hz,              -72.98, dBm,
            65060572,Hz,              -72.80, dBm,            65060572,Hz,              -73.18, dBm,
            65075349,Hz,              -72.03, dBm,            65075349,Hz,              -73.00, dBm,
            65090126,Hz,              -71.29, dBm,            65090126,Hz,              -73.22, dBm,
            65104903,Hz,              -73.50, dBm,            65104903,Hz,              -73.04, dBm,
            65119680,Hz,              -74.98, dBm,            65119680,Hz,              -73.05, dBm,
            65134457,Hz,              -73.86, dBm,            65134457,Hz,              -72.97, dBm,
