Trace1,,,,Trace2,,,,
Freq,,Amp,,Freq,,Amp,,
            64602485,Hz,              -88.71, dBm,            64602485,Hz,              -88.79, dBm,
            64617262,Hz,              -88.12, dBm,            64617262,Hz,              -88.93, dBm,
            64632039,Hz,              -87.50, dBm,            64632039,Hz,              -88.86, dBm,
            64646816,Hz,              -88.81, dBm,            64646816,Hz,              -89.08, dBm,
            64661593,Hz,              -87.62, dBm,            64661593,Hz,              -88.71, dBm,
            64676370,Hz,              -89.73, dBm,            64676370,Hz,              -89.16, dBm,
            64691147,Hz,              -89.11, dBm,            64691147,Hz,              -88.62, dBm,
            64705924,Hz,              -89.42, dBm,            64705924,Hz,              -89.22, dBm,
            64720701,Hz,              -89.76, dBm,            64720701,Hz,              -89.15, dBm,
            64735478,Hz,              -86.76, dBm,            64735478,Hz,              -89.04, dBm,
            64750255,Hz,              -88.44, dBm,            64750255,Hz,              -89.10, dBm,
            64765032,Hz,              -90.41, dBm,            64765032,Hz,              -88.99, dBm,
            64779809,Hz,              -90.28, dBm,            64779809,Hz,              -88.98, dBm,
            64794586,Hz,              -89.56, dBm,            64794586,Hz,              -89.01, dBm,
            64809363,Hz,              -90.00, dBm,            64809363,Hz,              -88.93, dBm,
            64824140,Hz,              -88.73, dBm,            64824140,Hz,              -89.07, dBm,
            64838917,Hz,              -88.23, dBm,            64838917,Hz,              -88.96, dBm,
            64853694,Hz,              -90.08, dBm,            64853694,Hz,              -89.07, dBm,
            64868471,Hz,              -90.95, dBm,            64868471,Hz,              -88.87, dBm,
            64883248,Hz,              -90.04, dBm,            64883248,Hz,              -89.11, dBm,
            64898025,Hz,              -90.05, dBm,            64898025,Hz,              -89.01, dBm,
            64912802,Hz,              -89.58, dBm,            64912802,Hz,              -89.08, dBm,
            64927579,Hz,              -90.78, dBm,            64927579,Hz,              -88.96, dBm,
            64942356,Hz,              -89.44, dBm,            64942356,Hz,              -88.86, dBm,
            64957133,Hz,              -89.12, dBm,            64957133,Hz,              -89.23, dBm,
            64971910,Hz,              -87.71, dBm,            64971910,Hz,              -88.71, dBm,
            64986687,Hz,              -88.10, dBm,            64986687,Hz,              -89.27, dBm,
            65001464,Hz,              -89.80, dBm,            65001464,Hz,              -88.89, dBm,
            65016241,Hz,              -88.37, dBm,            65016241,Hz,              -88.62, dBm,
            65031018,Hz,              -88.90, dBm,            65031018,Hz,              -89.11, dBm,
            65045795,Hz,              -89.49, dBm,            65045795,Hz,              -88.93, dBm,
            65060572,Hz,              -87.13, dBm,            65060572,Hz,              -88.62, dBm,
            65075349,Hz,              -89.03, dBm,            65075349,Hz,              -88.85, dBm,
            65090126,Hz,              -88.33, dBm,            65090126,Hz,              -89.17, dBm,
