Trace1,,,,
Freq,,Amp,,
            51664905,Hz,             -101.04, dBm,
            51669911,Hz,             -100.17, dBm,
            51674917,Hz,              -98.14, dBm,
            51679923,Hz,             -101.49, dBm,
            51684929,Hz,              -99.92, dBm,
            51689935,Hz,              -99.26, dBm,
            51694941,Hz,              -95.67, dBm,
            51699947,Hz,              -95.30, dBm,
            51704953,Hz,              -98.66, dBm,
            51709959,Hz,              -99.43, dBm,
            51714965,Hz,              -96.22, dBm,
            51719971,Hz,              -98.39, dBm,
            51724977,Hz,             -100.33, dBm,
            51729983,Hz,             -101.50, dBm,
            51734989,Hz,             -100.14, dBm,
            51739995,Hz,             -100.58, dBm,
            51745001,Hz,              -96.02, dBm,
            51750007,Hz,              -98.79, dBm,
            51755013,Hz,              -98.86, dBm,
            51760019,Hz,              -98.90, dBm,
            51765025,Hz,              -99.34, dBm,
            51770031,Hz,             -101.89, dBm,
            51775037,Hz,              -97.00, dBm,
            51780043,Hz,             -102.92, dBm,
            51785049,Hz,              -97.48, dBm,
            51790055,Hz,              -98.26, dBm,
            51795061,Hz,             -100.71, dBm,
            51800067,Hz,              -99.94, dBm,
            51805073,Hz,              -99.97, dBm,
            51810079,Hz,             -101.24, dBm,
            51815085,Hz,             -101.22, dBm,
            51820091,Hz,              -99.47, dBm,
            51825097,Hz,              -96.70, dBm,
            51830103,Hz,             -100.60, dBm,
            51835109,Hz,              -97.19, dBm,
            51840115,Hz,             -101.32, dBm,
            51845121,Hz,             -101.78, dBm,
            51850127,Hz,              -96.35, dBm,
            51855133,Hz,             -100.95, dBm,
            51860139,Hz,              -92.74, dBm,
            51865145,Hz,              -98.74, dBm,
            51870151,Hz,              -97.47, dBm,
            51875157,Hz,             -100.33, dBm,
            51880163,Hz,             -100.65, dBm,
            51885169,Hz,              -99.71, dBm,
            51890175,Hz,             -102.03, dBm,
            51895181,Hz,             -103.88, dBm,
            51900187,Hz,             -101.67, dBm,
            51905193,Hz,              -99.93, dBm,
            51910199,Hz,             -100.53, dBm,
            51915205,Hz,             -100.29, dBm,
            51920211,Hz,              -96.98, dBm,
            51925217,Hz,              -99.75, dBm,
            51930223,Hz,             -101.59, dBm,
            51935229,Hz,             -100.66, dBm,
            51940235,Hz,             -101.22, dBm,
            51945241,Hz,              -98.63, dBm,
            51950247,Hz,             -101.29, dBm,
            51955253,Hz,              -97.81, dBm,
            51960259,Hz,              -96.25, dBm,
            51965265,Hz,              -94.98, dBm,
            51970271,Hz,              -96.00, dBm,
            51975277,Hz,             -101.17, dBm,
            51980283,Hz,              -97.95, dBm,
            51985289,Hz,             -101.70, dBm,
            51990295,Hz,              -98.49, dBm,
            51995301,Hz,             -101.71, dBm,
            52000307,Hz,              -97.77, dBm,
            52005313,Hz,              -99.63, dBm,
            52010319,Hz,             -101.53, dBm,
            52015325,Hz,              -99.53, dBm,
            52020331,Hz,             -100.02, dBm,
            52025337,Hz,             -100.53, dBm,
            52030343,Hz,             -100.32, dBm,
            52035349,Hz,             -101.94, dBm,
            52040355,Hz,             -101.01, dBm,
            52045361,Hz,              -97.64, dBm,
            52050367,Hz,             -102.74, dBm,
            52055373,Hz,              -99.43, dBm,
            52060379,Hz,             -103.00, dBm,
            52065385,Hz,              -99.98, dBm,
            52070391,Hz,              -96.48, dBm,
            52075397,Hz,             -105.30, dBm,
            52080403,Hz,             -103.28, dBm,
            52085409,Hz,              -98.77, dBm,
            52090415,Hz,              -97.14, dBm,
            52095421,Hz,              -99.17, dBm,
            52100427,Hz,              -98.10, dBm,
            52105433,Hz,             -100.65, dBm,
            52110439,Hz,             -101.44, dBm,
            52115445,Hz,              -98.02, dBm,
            52120451,Hz,             -102.38, dBm,
            52125457,Hz,              -99.91, dBm,
            52130463,Hz,              -98.47, dBm,
            52135469,Hz,             -100.20, dBm,
