Hz,mVpp
1,56
5,224
10,322
15,364
20,384
25,404
30,404
35,412
40,416
45,416
50,416
60,420
70,420
80,424
90,424
100,424
200,424
300,424
400,424
500,424
600,424
700,424
800,424
900,424
1000,424
2000,424
3000,420
4000,420
5000,412
6000,412
7000,400
8000,400
9000,400
10000,388
20000,324
30000,262
40000,218
50000,186
60000,162
70000,142
80000,128
90000,114
100000,97.6
200000,53.6
300000,32.2
400000,24.4
500000,19.8
600000,16.6
700000,13.9
800000,11.9
900000,10.7
1000000,9.36
5000000,6.24
10000000,13.7
20000000,-66
30000000,-88
