Trace1,,,,Trace2,,,,
Freq,,Amp,,Freq,,Amp,,
            53029808,Hz,              -92.78, dBm,            53029808,Hz,              -94.28, dBm,
            53030384,Hz,              -92.49, dBm,            53030384,Hz,              -94.51, dBm,
            53030960,Hz,              -92.36, dBm,            53030960,Hz,              -94.17, dBm,
            53031536,Hz,              -92.25, dBm,            53031536,Hz,              -94.18, dBm,
            53032112,Hz,              -93.95, dBm,            53032112,Hz,              -94.30, dBm,
            53032688,Hz,              -93.52, dBm,            53032688,Hz,              -94.36, dBm,
            53033264,Hz,              -92.39, dBm,            53033264,Hz,              -94.31, dBm,
            53033840,Hz,              -92.54, dBm,            53033840,Hz,              -94.60, dBm,
            53034416,Hz,              -93.43, dBm,            53034416,Hz,              -94.79, dBm,
            53034992,Hz,              -92.51, dBm,            53034992,Hz,              -93.73, dBm,
            53035568,Hz,              -94.15, dBm,            53035568,Hz,              -94.28, dBm,
            53036144,Hz,              -93.69, dBm,            53036144,Hz,              -93.63, dBm,
            53036720,Hz,              -92.44, dBm,            53036720,Hz,              -93.88, dBm,
            53037296,Hz,              -93.22, dBm,            53037296,Hz,              -94.04, dBm,
            53037872,Hz,              -92.60, dBm,            53037872,Hz,              -94.02, dBm,
            53038448,Hz,              -93.06, dBm,            53038448,Hz,              -93.97, dBm,
            53039024,Hz,              -93.30, dBm,            53039024,Hz,              -94.21, dBm,
            53039600,Hz,              -92.11, dBm,            53039600,Hz,              -94.13, dBm,
            53040176,Hz,              -93.08, dBm,            53040176,Hz,              -94.02, dBm,
            53040752,Hz,              -93.32, dBm,            53040752,Hz,              -94.38, dBm,
            53041328,Hz,              -92.94, dBm,            53041328,Hz,              -93.80, dBm,
            53041904,Hz,              -94.60, dBm,            53041904,Hz,              -94.87, dBm,
            53042480,Hz,              -91.36, dBm,            53042480,Hz,              -94.10, dBm,
            53043056,Hz,              -92.91, dBm,            53043056,Hz,              -93.64, dBm,
            53043632,Hz,              -93.95, dBm,            53043632,Hz,              -93.92, dBm,
            53044208,Hz,              -92.39, dBm,            53044208,Hz,              -93.72, dBm,
            53044784,Hz,              -92.47, dBm,            53044784,Hz,              -93.68, dBm,
            53045360,Hz,              -92.60, dBm,            53045360,Hz,              -94.01, dBm,
            53045936,Hz,              -93.52, dBm,            53045936,Hz,              -93.95, dBm,
            53046512,Hz,              -93.52, dBm,            53046512,Hz,              -94.33, dBm,
            53047088,Hz,              -92.93, dBm,            53047088,Hz,              -93.10, dBm,
            53047664,Hz,              -91.98, dBm,            53047664,Hz,              -93.45, dBm,
            53048240,Hz,              -93.55, dBm,            53048240,Hz,              -94.12, dBm,
            53048816,Hz,              -93.39, dBm,            53048816,Hz,              -94.01, dBm,
            53049392,Hz,              -92.34, dBm,            53049392,Hz,              -94.35, dBm,
            53049968,Hz,              -91.98, dBm,            53049968,Hz,              -93.88, dBm,
            53050544,Hz,              -92.13, dBm,            53050544,Hz,              -93.22, dBm,
            53051120,Hz,              -93.36, dBm,            53051120,Hz,              -94.27, dBm,
            53051696,Hz,              -92.07, dBm,            53051696,Hz,              -93.58, dBm,
            53052272,Hz,              -91.43, dBm,            53052272,Hz,              -93.19, dBm,
            53052848,Hz,              -92.21, dBm,            53052848,Hz,              -93.77, dBm,
            53053424,Hz,              -92.93, dBm,            53053424,Hz,              -94.20, dBm,
            53054000,Hz,              -91.45, dBm,            53054000,Hz,              -93.44, dBm,
            53054576,Hz,              -92.98, dBm,            53054576,Hz,              -93.51, dBm,
            53055152,Hz,              -93.33, dBm,            53055152,Hz,              -93.78, dBm,
            53055728,Hz,              -92.87, dBm,            53055728,Hz,              -93.17, dBm,
            53056304,Hz,              -90.97, dBm,            53056304,Hz,              -92.94, dBm,
            53056880,Hz,              -90.35, dBm,            53056880,Hz,              -92.77, dBm,
            53057456,Hz,              -93.52, dBm,            53057456,Hz,              -93.27, dBm,
            53058032,Hz,              -92.58, dBm,            53058032,Hz,              -93.21, dBm,
            53058608,Hz,              -92.88, dBm,            53058608,Hz,              -93.29, dBm,
            53059184,Hz,              -92.65, dBm,            53059184,Hz,              -93.63, dBm,
            53059760,Hz,              -92.71, dBm,            53059760,Hz,              -93.63, dBm,
            53060336,Hz,              -91.65, dBm,            53060336,Hz,              -93.32, dBm,
            53060912,Hz,              -94.12, dBm,            53060912,Hz,              -93.87, dBm,
            53061488,Hz,              -91.95, dBm,            53061488,Hz,              -93.18, dBm,
            53062064,Hz,              -91.35, dBm,            53062064,Hz,              -93.02, dBm,
            53062640,Hz,              -92.14, dBm,            53062640,Hz,              -93.42, dBm,
            53063216,Hz,              -91.85, dBm,            53063216,Hz,              -92.78, dBm,
            53063792,Hz,              -91.94, dBm,            53063792,Hz,              -92.75, dBm,
            53064368,Hz,              -92.22, dBm,            53064368,Hz,              -92.66, dBm,
            53064944,Hz,              -92.21, dBm,            53064944,Hz,              -92.77, dBm,
            53065520,Hz,              -92.31, dBm,            53065520,Hz,              -93.13, dBm,
            53066096,Hz,              -91.06, dBm,            53066096,Hz,              -92.87, dBm,
            53066672,Hz,              -91.53, dBm,            53066672,Hz,              -92.81, dBm,
            53067248,Hz,              -90.78, dBm,            53067248,Hz,              -92.48, dBm,
            53067824,Hz,              -91.00, dBm,            53067824,Hz,              -93.01, dBm,
            53068400,Hz,              -93.04, dBm,            53068400,Hz,              -93.02, dBm,
            53068976,Hz,              -92.09, dBm,            53068976,Hz,              -92.83, dBm,
            53069552,Hz,              -92.49, dBm,            53069552,Hz,              -92.86, dBm,
            53070128,Hz,              -92.45, dBm,            53070128,Hz,              -92.81, dBm,
            53070704,Hz,              -93.73, dBm,            53070704,Hz,              -93.75, dBm,
            53071280,Hz,              -92.19, dBm,            53071280,Hz,              -92.53, dBm,
            53071856,Hz,              -91.91, dBm,            53071856,Hz,              -92.75, dBm,
            53072432,Hz,              -91.07, dBm,            53072432,Hz,              -93.05, dBm,
            53073008,Hz,              -91.42, dBm,            53073008,Hz,              -92.54, dBm,
