Trace1,,,,Trace2,,,,
Freq,,Amp,,Freq,,Amp,,
            53165216,Hz,              -87.71, dBm,            53165216,Hz,              -85.41, dBm,
            53165402,Hz,              -85.04, dBm,            53165402,Hz,              -84.21, dBm,
            53165588,Hz,              -84.08, dBm,            53165588,Hz,              -85.01, dBm,
            53165774,Hz,              -87.36, dBm,            53165774,Hz,              -85.14, dBm,
            53165960,Hz,              -85.70, dBm,            53165960,Hz,              -85.44, dBm,
            53166146,Hz,              -85.89, dBm,            53166146,Hz,              -86.36, dBm,
            53166332,Hz,              -87.36, dBm,            53166332,Hz,              -86.85, dBm,
            53166518,Hz,              -87.47, dBm,            53166518,Hz,              -86.63, dBm,
            53166704,Hz,              -87.27, dBm,            53166704,Hz,              -87.44, dBm,
            53166890,Hz,              -91.35, dBm,            53166890,Hz,              -88.43, dBm,
            53167076,Hz,              -90.08, dBm,            53167076,Hz,              -88.11, dBm,
            53167262,Hz,              -92.61, dBm,            53167262,Hz,              -89.43, dBm,
            53167448,Hz,              -92.39, dBm,            53167448,Hz,              -89.26, dBm,
            53167634,Hz,              -91.50, dBm,            53167634,Hz,              -90.62, dBm,
            53167820,Hz,              -92.92, dBm,            53167820,Hz,              -90.96, dBm,
            53168006,Hz,              -92.99, dBm,            53168006,Hz,              -91.06, dBm,
            53168192,Hz,              -92.56, dBm,            53168192,Hz,              -91.28, dBm,
            53168378,Hz,              -94.99, dBm,            53168378,Hz,              -92.85, dBm,
            53168564,Hz,              -90.40, dBm,            53168564,Hz,              -90.44, dBm,
            53168750,Hz,              -90.36, dBm,            53168750,Hz,              -92.16, dBm,
            53168936,Hz,              -90.74, dBm,            53168936,Hz,              -91.01, dBm,
            53169122,Hz,              -91.90, dBm,            53169122,Hz,              -92.03, dBm,
            53169308,Hz,              -91.81, dBm,            53169308,Hz,              -91.62, dBm,
            53169494,Hz,              -93.26, dBm,            53169494,Hz,              -92.92, dBm,
            53169680,Hz,              -88.06, dBm,            53169680,Hz,              -91.54, dBm,
            53169866,Hz,              -89.37, dBm,            53169866,Hz,              -89.85, dBm,
            53170052,Hz,              -89.95, dBm,            53170052,Hz,              -92.04, dBm,
            53170238,Hz,              -89.18, dBm,            53170238,Hz,              -91.24, dBm,
            53170424,Hz,              -87.40, dBm,            53170424,Hz,              -90.63, dBm,
            53170610,Hz,              -85.91, dBm,            53170610,Hz,              -88.74, dBm,
            53170796,Hz,              -89.16, dBm,            53170796,Hz,              -88.72, dBm,
            53170982,Hz,              -84.23, dBm,            53170982,Hz,              -87.54, dBm,
            53171168,Hz,              -84.83, dBm,            53171168,Hz,              -88.05, dBm,
            53171354,Hz,              -86.18, dBm,            53171354,Hz,              -89.03, dBm,
            53171540,Hz,              -87.05, dBm,            53171540,Hz,              -87.10, dBm,
            53171726,Hz,              -86.64, dBm,            53171726,Hz,              -87.25, dBm,
            53171912,Hz,              -84.17, dBm,            53171912,Hz,              -85.64, dBm,
            53172098,Hz,              -84.18, dBm,            53172098,Hz,              -85.04, dBm,
            53172284,Hz,              -85.13, dBm,            53172284,Hz,              -84.94, dBm,
            53172470,Hz,              -83.32, dBm,            53172470,Hz,              -85.51, dBm,
            53172656,Hz,              -83.29, dBm,            53172656,Hz,              -83.89, dBm,
            53172842,Hz,              -82.41, dBm,            53172842,Hz,              -84.28, dBm,
            53173028,Hz,              -83.92, dBm,            53173028,Hz,              -85.78, dBm,
            53173214,Hz,              -81.99, dBm,            53173214,Hz,              -83.36, dBm,
            53173400,Hz,              -81.25, dBm,            53173400,Hz,              -81.91, dBm,
            53173586,Hz,              -81.11, dBm,            53173586,Hz,              -82.64, dBm,
            53173772,Hz,              -80.28, dBm,            53173772,Hz,              -81.30, dBm,
            53173958,Hz,              -79.96, dBm,            53173958,Hz,              -81.44, dBm,
            53174144,Hz,              -80.45, dBm,            53174144,Hz,              -82.39, dBm,
            53174330,Hz,              -78.59, dBm,            53174330,Hz,              -80.29, dBm,
            53174516,Hz,              -78.45, dBm,            53174516,Hz,              -81.25, dBm,
            53174702,Hz,              -80.31, dBm,            53174702,Hz,              -81.50, dBm,
            53174888,Hz,              -80.25, dBm,            53174888,Hz,              -81.06, dBm,
            53175074,Hz,              -79.80, dBm,            53175074,Hz,              -81.33, dBm,
            53175260,Hz,              -80.29, dBm,            53175260,Hz,              -81.31, dBm,
            53175446,Hz,              -80.14, dBm,            53175446,Hz,              -81.16, dBm,
            53175632,Hz,              -77.88, dBm,            53175632,Hz,              -78.92, dBm,
            53175818,Hz,              -79.96, dBm,            53175818,Hz,              -80.53, dBm,
            53176004,Hz,              -77.99, dBm,            53176004,Hz,              -79.40, dBm,
            53176190,Hz,              -77.47, dBm,            53176190,Hz,              -78.52, dBm,
            53176376,Hz,              -74.82, dBm,            53176376,Hz,              -77.70, dBm,
            53176562,Hz,              -73.63, dBm,            53176562,Hz,              -77.93, dBm,
            53176748,Hz,              -75.35, dBm,            53176748,Hz,              -77.11, dBm,
            53176934,Hz,              -71.85, dBm,            53176934,Hz,              -76.12, dBm,
            53177120,Hz,              -72.68, dBm,            53177120,Hz,              -75.97, dBm,
            53177306,Hz,              -68.90, dBm,            53177306,Hz,              -74.56, dBm,
            53177492,Hz,              -68.52, dBm,            53177492,Hz,              -72.71, dBm,
            53177678,Hz,              -68.06, dBm,            53177678,Hz,              -71.64, dBm,
            53177864,Hz,              -69.37, dBm,            53177864,Hz,              -71.95, dBm,
            53178050,Hz,              -67.66, dBm,            53178050,Hz,              -70.15, dBm,
            53178236,Hz,              -71.69, dBm,            53178236,Hz,              -71.38, dBm,
            53178422,Hz,              -72.83, dBm,            53178422,Hz,              -69.69, dBm,
            53178608,Hz,              -71.49, dBm,            53178608,Hz,              -69.47, dBm,
            53178794,Hz,              -70.75, dBm,            53178794,Hz,              -69.31, dBm,
            53178980,Hz,              -75.74, dBm,            53178980,Hz,              -72.09, dBm,
