Trace1,,,,Trace2,,,,
Freq,,Amp,,Freq,,Amp,,
            51721199,Hz,              -85.21, dBm,            51721199,Hz,              -84.80, dBm,
            51726199,Hz,              -86.06, dBm,            51726199,Hz,              -85.36, dBm,
            51731199,Hz,              -86.98, dBm,            51731199,Hz,              -84.84, dBm,
            51736199,Hz,              -81.53, dBm,            51736199,Hz,              -85.29, dBm,
            51741199,Hz,              -84.11, dBm,            51741199,Hz,              -85.18, dBm,
            51746199,Hz,              -84.05, dBm,            51746199,Hz,              -85.12, dBm,
            51751199,Hz,              -85.57, dBm,            51751199,Hz,              -85.84, dBm,
            51756199,Hz,              -85.63, dBm,            51756199,Hz,              -85.06, dBm,
            51761199,Hz,              -87.32, dBm,            51761199,Hz,              -85.64, dBm,
            51766199,Hz,              -83.40, dBm,            51766199,Hz,              -85.06, dBm,
            51771199,Hz,              -86.66, dBm,            51771199,Hz,              -86.09, dBm,
            51776199,Hz,              -83.62, dBm,            51776199,Hz,              -84.44, dBm,
            51781199,Hz,              -85.85, dBm,            51781199,Hz,              -84.96, dBm,
            51786199,Hz,              -87.07, dBm,            51786199,Hz,              -85.77, dBm,
            51791199,Hz,              -85.49, dBm,            51791199,Hz,              -85.26, dBm,
            51796199,Hz,              -82.34, dBm,            51796199,Hz,              -84.80, dBm,
            51801199,Hz,              -86.83, dBm,            51801199,Hz,              -84.90, dBm,
            51806199,Hz,              -85.72, dBm,            51806199,Hz,              -84.69, dBm,
            51811199,Hz,              -88.42, dBm,            51811199,Hz,              -85.26, dBm,
            51816199,Hz,              -84.72, dBm,            51816199,Hz,              -84.41, dBm,
            51821199,Hz,              -83.57, dBm,            51821199,Hz,              -84.62, dBm,
            51826199,Hz,              -83.69, dBm,            51826199,Hz,              -85.44, dBm,
            51831199,Hz,              -85.09, dBm,            51831199,Hz,              -85.15, dBm,
            51836199,Hz,              -82.76, dBm,            51836199,Hz,              -84.39, dBm,
            51841199,Hz,              -83.49, dBm,            51841199,Hz,              -84.32, dBm,
            51846199,Hz,              -84.99, dBm,            51846199,Hz,              -84.13, dBm,
            51851199,Hz,              -86.38, dBm,            51851199,Hz,              -84.89, dBm,
            51856199,Hz,              -84.41, dBm,            51856199,Hz,              -84.50, dBm,
            51861199,Hz,              -83.77, dBm,            51861199,Hz,              -84.30, dBm,
            51866199,Hz,              -86.55, dBm,            51866199,Hz,              -84.75, dBm,
            51871199,Hz,              -83.28, dBm,            51871199,Hz,              -84.54, dBm,
            51876199,Hz,              -88.17, dBm,            51876199,Hz,              -84.69, dBm,
            51881199,Hz,              -86.72, dBm,            51881199,Hz,              -84.90, dBm,
            51886199,Hz,              -86.25, dBm,            51886199,Hz,              -84.55, dBm,
            51891199,Hz,              -87.87, dBm,            51891199,Hz,              -84.74, dBm,
            51896199,Hz,              -84.61, dBm,            51896199,Hz,              -84.70, dBm,
            51901199,Hz,              -87.85, dBm,            51901199,Hz,              -85.05, dBm,
            51906199,Hz,              -83.96, dBm,            51906199,Hz,              -84.46, dBm,
            51911199,Hz,              -83.12, dBm,            51911199,Hz,              -84.69, dBm,
            51916199,Hz,              -82.97, dBm,            51916199,Hz,              -84.58, dBm,
            51921199,Hz,              -83.45, dBm,            51921199,Hz,              -84.30, dBm,
            51926199,Hz,              -85.50, dBm,            51926199,Hz,              -84.67, dBm,
            51931199,Hz,              -84.10, dBm,            51931199,Hz,              -84.15, dBm,
            51936199,Hz,              -85.79, dBm,            51936199,Hz,              -84.72, dBm,
            51941199,Hz,              -84.89, dBm,            51941199,Hz,              -84.28, dBm,
            51946199,Hz,              -82.10, dBm,            51946199,Hz,              -84.12, dBm,
            51951199,Hz,              -83.13, dBm,            51951199,Hz,              -84.40, dBm,
            51956199,Hz,              -81.37, dBm,            51956199,Hz,              -84.09, dBm,
            51961199,Hz,              -84.47, dBm,            51961199,Hz,              -84.29, dBm,
            51966199,Hz,              -84.73, dBm,            51966199,Hz,              -84.77, dBm,
