Trace1,,,,Trace2,,,,
Freq,,Amp,,Freq,,Amp,,
            64602485,Hz,              -92.68, dBm,            64602485,Hz,              -93.21, dBm,
            64617262,Hz,              -92.40, dBm,            64617262,Hz,              -92.63, dBm,
            64632039,Hz,              -93.65, dBm,            64632039,Hz,              -93.20, dBm,
            64646816,Hz,              -92.38, dBm,            64646816,Hz,              -92.81, dBm,
            64661593,Hz,              -93.00, dBm,            64661593,Hz,              -93.40, dBm,
            64676370,Hz,              -93.17, dBm,            64676370,Hz,              -93.38, dBm,
            64691147,Hz,              -93.05, dBm,            64691147,Hz,              -93.15, dBm,
            64705924,Hz,              -94.20, dBm,            64705924,Hz,              -93.49, dBm,
            64720701,Hz,              -93.51, dBm,            64720701,Hz,              -94.15, dBm,
            64735478,Hz,              -92.93, dBm,            64735478,Hz,              -93.53, dBm,
            64750255,Hz,              -93.40, dBm,            64750255,Hz,              -93.04, dBm,
            64765032,Hz,              -92.78, dBm,            64765032,Hz,              -92.75, dBm,
            64779809,Hz,              -93.27, dBm,            64779809,Hz,              -92.95, dBm,
            64794586,Hz,              -93.06, dBm,            64794586,Hz,              -92.71, dBm,
            64809363,Hz,              -92.86, dBm,            64809363,Hz,              -92.73, dBm,
            64824140,Hz,              -92.79, dBm,            64824140,Hz,              -93.17, dBm,
            64838917,Hz,              -93.31, dBm,            64838917,Hz,              -92.90, dBm,
            64853694,Hz,              -93.72, dBm,            64853694,Hz,              -93.04, dBm,
            64868471,Hz,              -92.42, dBm,            64868471,Hz,              -92.47, dBm,
            64883248,Hz,              -93.15, dBm,            64883248,Hz,              -93.19, dBm,
            64898025,Hz,              -92.61, dBm,            64898025,Hz,              -93.06, dBm,
            64912802,Hz,              -92.99, dBm,            64912802,Hz,              -93.36, dBm,
            64927579,Hz,              -94.19, dBm,            64927579,Hz,              -93.83, dBm,
            64942356,Hz,              -93.78, dBm,            64942356,Hz,              -93.37, dBm,
            64957133,Hz,              -93.01, dBm,            64957133,Hz,              -92.92, dBm,
            64971910,Hz,              -93.58, dBm,            64971910,Hz,              -93.21, dBm,
            64986687,Hz,              -93.22, dBm,            64986687,Hz,              -93.43, dBm,
            65001464,Hz,              -93.11, dBm,            65001464,Hz,              -93.48, dBm,
            65016241,Hz,              -92.80, dBm,            65016241,Hz,              -92.91, dBm,
            65031018,Hz,              -93.32, dBm,            65031018,Hz,              -93.05, dBm,
            65045795,Hz,              -92.35, dBm,            65045795,Hz,              -92.99, dBm,
            65060572,Hz,              -93.00, dBm,            65060572,Hz,              -92.80, dBm,
            65075349,Hz,              -93.79, dBm,            65075349,Hz,              -93.46, dBm,
            65090126,Hz,              -92.66, dBm,            65090126,Hz,              -93.09, dBm,
            65104903,Hz,              -93.20, dBm,            65104903,Hz,              -93.03, dBm,
            65119680,Hz,              -93.75, dBm,            65119680,Hz,              -93.18, dBm,
            65134457,Hz,              -93.26, dBm,            65134457,Hz,              -93.21, dBm,
            65149234,Hz,              -92.66, dBm,            65149234,Hz,              -92.84, dBm,
            65164011,Hz,              -93.43, dBm,            65164011,Hz,              -93.72, dBm,
            65178788,Hz,              -93.02, dBm,            65178788,Hz,              -92.77, dBm,
            65193565,Hz,              -93.54, dBm,            65193565,Hz,              -92.96, dBm,
            65208342,Hz,              -93.10, dBm,            65208342,Hz,              -93.04, dBm,
            65223119,Hz,              -92.78, dBm,            65223119,Hz,              -92.54, dBm,
            65237896,Hz,              -92.83, dBm,            65237896,Hz,              -93.19, dBm,
            65252673,Hz,              -93.59, dBm,            65252673,Hz,              -93.12, dBm,
            65267450,Hz,              -92.67, dBm,            65267450,Hz,              -92.86, dBm,
            65282227,Hz,              -93.58, dBm,            65282227,Hz,              -93.70, dBm,
            65297004,Hz,              -92.36, dBm,            65297004,Hz,              -92.75, dBm,
            65311781,Hz,              -92.60, dBm,            65311781,Hz,              -92.52, dBm,
            65326558,Hz,              -92.62, dBm,            65326558,Hz,              -92.79, dBm,
            65341335,Hz,              -92.39, dBm,            65341335,Hz,              -92.85, dBm,
            65356112,Hz,              -92.86, dBm,            65356112,Hz,              -92.94, dBm,
            65370889,Hz,              -93.16, dBm,            65370889,Hz,              -92.77, dBm,
            65385666,Hz,              -93.23, dBm,            65385666,Hz,              -93.48, dBm,
            65400443,Hz,              -92.65, dBm,            65400443,Hz,              -92.73, dBm,
            65415220,Hz,              -93.17, dBm,            65415220,Hz,              -93.07, dBm,
            65429997,Hz,              -91.91, dBm,            65429997,Hz,              -92.74, dBm,
            65444774,Hz,              -92.86, dBm,            65444774,Hz,              -92.61, dBm,
            65459551,Hz,              -92.50, dBm,            65459551,Hz,              -93.02, dBm,
            65474328,Hz,              -92.86, dBm,            65474328,Hz,              -92.83, dBm,
            65489105,Hz,              -93.08, dBm,            65489105,Hz,              -92.77, dBm,
            65503882,Hz,              -92.36, dBm,            65503882,Hz,              -91.98, dBm,
            65518659,Hz,              -93.09, dBm,            65518659,Hz,              -93.49, dBm,
            65533436,Hz,              -92.70, dBm,            65533436,Hz,              -93.08, dBm,
            65548213,Hz,              -93.08, dBm,            65548213,Hz,              -93.47, dBm,
            65562990,Hz,              -93.70, dBm,            65562990,Hz,              -93.09, dBm,
            65577767,Hz,              -93.02, dBm,            65577767,Hz,              -92.99, dBm,
            65592544,Hz,              -92.27, dBm,            65592544,Hz,              -92.69, dBm,
            65607321,Hz,              -91.87, dBm,            65607321,Hz,              -91.88, dBm,
            65622098,Hz,              -92.47, dBm,            65622098,Hz,              -92.37, dBm,
            65636875,Hz,              -92.91, dBm,            65636875,Hz,              -92.46, dBm,
            65651652,Hz,              -92.93, dBm,            65651652,Hz,              -93.02, dBm,
            65666429,Hz,              -93.48, dBm,            65666429,Hz,              -92.99, dBm,
            65681206,Hz,              -91.89, dBm,            65681206,Hz,              -91.83, dBm,
            65695983,Hz,              -91.93, dBm,            65695983,Hz,              -91.85, dBm,
            65710760,Hz,              -91.62, dBm,            65710760,Hz,              -92.12, dBm,
            65725537,Hz,              -92.74, dBm,            65725537,Hz,              -92.46, dBm,
            65740314,Hz,              -92.28, dBm,            65740314,Hz,              -92.60, dBm,
            65755091,Hz,              -93.51, dBm,            65755091,Hz,              -92.77, dBm,
            65769868,Hz,              -93.07, dBm,            65769868,Hz,              -92.93, dBm,
            65784645,Hz,              -92.08, dBm,            65784645,Hz,              -92.09, dBm,
            65799422,Hz,              -91.88, dBm,            65799422,Hz,              -92.45, dBm,
            65814199,Hz,              -92.17, dBm,            65814199,Hz,              -92.51, dBm,
            65828976,Hz,              -91.66, dBm,            65828976,Hz,              -91.70, dBm,
            65843753,Hz,              -92.79, dBm,            65843753,Hz,              -92.56, dBm,
            65858530,Hz,              -93.23, dBm,            65858530,Hz,              -92.57, dBm,
            65873307,Hz,              -92.23, dBm,            65873307,Hz,              -92.64, dBm,
            65888084,Hz,              -92.91, dBm,            65888084,Hz,              -93.40, dBm,
            65902861,Hz,              -91.57, dBm,            65902861,Hz,              -91.35, dBm,
            65917638,Hz,              -92.57, dBm,            65917638,Hz,              -92.47, dBm,
            65932415,Hz,              -93.40, dBm,            65932415,Hz,              -92.35, dBm,
            65947192,Hz,              -91.61, dBm,            65947192,Hz,              -91.50, dBm,
            65961969,Hz,              -92.55, dBm,            65961969,Hz,              -92.29, dBm,
            65976746,Hz,              -93.50, dBm,            65976746,Hz,              -93.32, dBm,
            65991523,Hz,              -92.56, dBm,            65991523,Hz,              -92.52, dBm,
            66006300,Hz,              -91.56, dBm,            66006300,Hz,              -91.71, dBm,
            66021077,Hz,              -91.54, dBm,            66021077,Hz,              -91.94, dBm,
            66035854,Hz,              -91.71, dBm,            66035854,Hz,              -92.22, dBm,
            66050631,Hz,              -91.50, dBm,            66050631,Hz,              -91.73, dBm,
            66065408,Hz,              -91.83, dBm,            66065408,Hz,              -91.87, dBm,
            66080185,Hz,              -92.24, dBm,            66080185,Hz,              -92.63, dBm,
            66094962,Hz,              -92.05, dBm,            66094962,Hz,              -91.67, dBm,
            66109739,Hz,              -91.83, dBm,            66109739,Hz,              -92.38, dBm,
            66124516,Hz,              -91.76, dBm,            66124516,Hz,              -91.28, dBm,
            66139293,Hz,              -92.10, dBm,            66139293,Hz,              -91.81, dBm,
            66154070,Hz,              -91.69, dBm,            66154070,Hz,              -91.51, dBm,
            66168847,Hz,              -90.70, dBm,            66168847,Hz,              -91.29, dBm,
            66183624,Hz,              -91.82, dBm,            66183624,Hz,              -91.97, dBm,
            66198401,Hz,              -92.48, dBm,            66198401,Hz,              -92.14, dBm,
            66213178,Hz,              -92.96, dBm,            66213178,Hz,              -92.61, dBm,
            66227955,Hz,              -92.20, dBm,            66227955,Hz,              -91.96, dBm,
            66242732,Hz,              -91.95, dBm,            66242732,Hz,              -91.91, dBm,
            66257509,Hz,              -92.57, dBm,            66257509,Hz,              -92.27, dBm,
            66272286,Hz,              -92.61, dBm,            66272286,Hz,              -91.76, dBm,
            66287063,Hz,              -91.90, dBm,            66287063,Hz,              -91.70, dBm,
            66301840,Hz,              -91.53, dBm,            66301840,Hz,              -91.77, dBm,
            66316617,Hz,              -91.89, dBm,            66316617,Hz,              -91.24, dBm,
            66331394,Hz,              -93.02, dBm,            66331394,Hz,              -92.52, dBm,
            66346171,Hz,              -92.47, dBm,            66346171,Hz,              -92.05, dBm,
            66360948,Hz,              -91.43, dBm,            66360948,Hz,              -91.89, dBm,
            66375725,Hz,              -91.39, dBm,            66375725,Hz,              -91.51, dBm,
            66390502,Hz,              -92.34, dBm,            66390502,Hz,              -91.70, dBm,
            66405279,Hz,              -92.58, dBm,            66405279,Hz,              -92.09, dBm,
            66420056,Hz,              -90.59, dBm,            66420056,Hz,              -90.70, dBm,
            66434833,Hz,              -90.81, dBm,            66434833,Hz,              -91.13, dBm,
            66449610,Hz,              -91.83, dBm,            66449610,Hz,              -91.66, dBm,
            66464387,Hz,              -91.09, dBm,            66464387,Hz,              -91.60, dBm,
            66479164,Hz,              -90.87, dBm,            66479164,Hz,              -90.97, dBm,
            66493941,Hz,              -90.78, dBm,            66493941,Hz,              -90.44, dBm,
            66508718,Hz,              -91.10, dBm,            66508718,Hz,              -91.21, dBm,
            66523495,Hz,              -90.78, dBm,            66523495,Hz,              -91.07, dBm,
            66538272,Hz,              -91.49, dBm,            66538272,Hz,              -91.11, dBm,
            66553049,Hz,              -90.87, dBm,            66553049,Hz,              -91.22, dBm,
