Trace1,,,,Trace2,,,,
Freq,,Amp,,Freq,,Amp,,
            64602485,Hz,              -70.88, dBm,            64602485,Hz,              -68.81, dBm,
            64617262,Hz,              -68.58, dBm,            64617262,Hz,              -68.74, dBm,
            64632039,Hz,              -69.30, dBm,            64632039,Hz,              -68.89, dBm,
            64646816,Hz,              -69.66, dBm,            64646816,Hz,              -68.76, dBm,
            64661593,Hz,              -70.45, dBm,            64661593,Hz,              -68.57, dBm,
            64676370,Hz,              -68.76, dBm,            64676370,Hz,              -68.65, dBm,
            64691147,Hz,              -68.63, dBm,            64691147,Hz,              -68.56, dBm,
            64705924,Hz,              -69.09, dBm,            64705924,Hz,              -68.57, dBm,
            64720701,Hz,              -67.87, dBm,            64720701,Hz,              -68.68, dBm,
            64735478,Hz,              -67.86, dBm,            64735478,Hz,              -68.76, dBm,
            64750255,Hz,              -68.04, dBm,            64750255,Hz,              -68.78, dBm,
            64765032,Hz,              -69.83, dBm,            64765032,Hz,              -68.71, dBm,
            64779809,Hz,              -69.79, dBm,            64779809,Hz,              -68.68, dBm,
            64794586,Hz,              -68.01, dBm,            64794586,Hz,              -68.60, dBm,
            64809363,Hz,              -66.03, dBm,            64809363,Hz,              -68.57, dBm,
            64824140,Hz,              -68.70, dBm,            64824140,Hz,              -68.62, dBm,
            64838917,Hz,              -68.12, dBm,            64838917,Hz,              -68.51, dBm,
            64853694,Hz,              -68.33, dBm,            64853694,Hz,              -68.57, dBm,
            64868471,Hz,              -68.70, dBm,            64868471,Hz,              -68.49, dBm,
            64883248,Hz,              -67.92, dBm,            64883248,Hz,              -68.50, dBm,
            64898025,Hz,              -67.94, dBm,            64898025,Hz,              -68.53, dBm,
            64912802,Hz,              -67.06, dBm,            64912802,Hz,              -68.46, dBm,
            64927579,Hz,              -70.36, dBm,            64927579,Hz,              -68.57, dBm,
            64942356,Hz,              -70.03, dBm,            64942356,Hz,              -68.40, dBm,
            64957133,Hz,              -68.76, dBm,            64957133,Hz,              -68.54, dBm,
            64971910,Hz,              -67.74, dBm,            64971910,Hz,              -68.32, dBm,
            64986687,Hz,              -68.98, dBm,            64986687,Hz,              -68.72, dBm,
            65001464,Hz,              -68.23, dBm,            65001464,Hz,              -68.63, dBm,
            65016241,Hz,              -68.15, dBm,            65016241,Hz,              -68.46, dBm,
            65031018,Hz,              -68.45, dBm,            65031018,Hz,              -68.49, dBm,
