Trace1,,,,Trace2,,,,
Freq,,Amp,,Freq,,Amp,,
            87461057,Hz,              -98.57, dBm,            87461057,Hz,              -97.02, dBm,
            87470771,Hz,              -96.50, dBm,            87470771,Hz,              -97.18, dBm,
            87480485,Hz,              -97.66, dBm,            87480485,Hz,              -97.61, dBm,
            87490199,Hz,              -96.05, dBm,            87490199,Hz,              -96.85, dBm,
            87499913,Hz,              -97.72, dBm,            87499913,Hz,              -97.04, dBm,
            87509627,Hz,              -97.63, dBm,            87509627,Hz,              -97.50, dBm,
            87519341,Hz,              -97.18, dBm,            87519341,Hz,              -96.55, dBm,
            87529055,Hz,              -98.23, dBm,            87529055,Hz,              -97.78, dBm,
            87538769,Hz,              -99.73, dBm,            87538769,Hz,              -98.23, dBm,
            87548483,Hz,              -97.07, dBm,            87548483,Hz,              -96.50, dBm,
            87558197,Hz,              -95.71, dBm,            87558197,Hz,              -96.82, dBm,
            87567911,Hz,              -97.72, dBm,            87567911,Hz,              -96.82, dBm,
            87577625,Hz,              -97.04, dBm,            87577625,Hz,              -97.10, dBm,
            87587339,Hz,              -95.60, dBm,            87587339,Hz,              -96.32, dBm,
            87597053,Hz,              -97.80, dBm,            87597053,Hz,              -96.63, dBm,
            87606767,Hz,              -95.62, dBm,            87606767,Hz,              -96.25, dBm,
            87616481,Hz,              -98.10, dBm,            87616481,Hz,              -97.19, dBm,
            87626195,Hz,              -97.84, dBm,            87626195,Hz,              -97.31, dBm,
            87635909,Hz,              -96.13, dBm,            87635909,Hz,              -96.49, dBm,
            87645623,Hz,              -98.60, dBm,            87645623,Hz,              -98.93, dBm,
            87655337,Hz,              -96.35, dBm,            87655337,Hz,              -96.36, dBm,
            87665051,Hz,              -98.02, dBm,            87665051,Hz,              -97.95, dBm,
            87674765,Hz,              -95.76, dBm,            87674765,Hz,              -97.28, dBm,
            87684479,Hz,              -96.35, dBm,            87684479,Hz,              -96.17, dBm,
            87694193,Hz,              -96.83, dBm,            87694193,Hz,              -96.11, dBm,
            87703907,Hz,              -96.44, dBm,            87703907,Hz,              -96.53, dBm,
            87713621,Hz,              -97.18, dBm,            87713621,Hz,              -96.15, dBm,
            87723335,Hz,              -96.89, dBm,            87723335,Hz,              -98.22, dBm,
            87733049,Hz,              -94.27, dBm,            87733049,Hz,              -96.50, dBm,
            87742763,Hz,              -95.27, dBm,            87742763,Hz,              -96.84, dBm,
            87752477,Hz,              -96.97, dBm,            87752477,Hz,              -95.66, dBm,
            87762191,Hz,              -98.45, dBm,            87762191,Hz,              -96.04, dBm,
            87771905,Hz,              -95.36, dBm,            87771905,Hz,              -96.22, dBm,
            87781619,Hz,              -95.35, dBm,            87781619,Hz,              -96.89, dBm,
            87791333,Hz,              -95.13, dBm,            87791333,Hz,              -96.41, dBm,
            87801047,Hz,              -97.98, dBm,            87801047,Hz,              -95.88, dBm,
            87810761,Hz,              -95.39, dBm,            87810761,Hz,              -95.69, dBm,
            87820475,Hz,              -94.08, dBm,            87820475,Hz,              -94.97, dBm,
            87830189,Hz,              -95.89, dBm,            87830189,Hz,              -96.44, dBm,
            87839903,Hz,              -95.06, dBm,            87839903,Hz,              -95.70, dBm,
            87849617,Hz,              -95.21, dBm,            87849617,Hz,              -96.64, dBm,
            87859331,Hz,              -95.57, dBm,            87859331,Hz,              -95.42, dBm,
